uuid,date,Energia
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T22:15:00.000Z,2.574
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T22:30:00.000Z,2.574
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T22:45:00.000Z,2.575
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T23:00:00.000Z,2.575
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T23:15:00.000Z,2.576
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T23:30:00.000Z,2.577
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T23:45:00.000Z,2.577
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T00:00:00.000Z,2.578
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T00:15:00.000Z,2.579
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T00:30:00.000Z,2.579
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T00:45:00.000Z,2.58
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T01:00:00.000Z,2.581
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T01:15:00.000Z,2.581
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T01:30:00.000Z,2.582
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T01:45:00.000Z,2.582
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T02:00:00.000Z,2.583
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T02:15:00.000Z,2.584
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T02:30:00.000Z,2.584
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T02:45:00.000Z,2.585
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T03:00:00.000Z,2.586
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T03:15:00.000Z,2.586
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T03:30:00.000Z,2.587
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T03:45:00.000Z,2.587
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T04:00:00.000Z,2.588
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T04:15:00.000Z,2.589
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T04:30:00.000Z,2.589
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T04:45:00.000Z,2.59
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T05:00:00.000Z,2.59
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T05:15:00.000Z,2.591
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T05:30:00.000Z,2.592
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T05:45:00.000Z,2.592
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T06:00:00.000Z,2.593
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T06:15:00.000Z,2.594
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T06:30:00.000Z,2.595
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T06:45:00.000Z,2.595
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T07:00:00.000Z,2.596
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T07:15:00.000Z,2.596
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T07:30:00.000Z,2.597
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T07:45:00.000Z,2.598
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T08:00:00.000Z,2.598
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T08:15:00.000Z,2.599
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T08:30:00.000Z,2.6
